,ID,Text,Star,Thumbs Up,sentiment
2,3888,Not able to update. Neither able to uninstall.,1,0,Positive
4,3890,Many unwanted ads,1,0,Positive
9,3895,Many times I tried to update its not updating. And now whenever I try to use the app it freezes and goes back to home,1,0,Positive
12,3898,App is not getting update and it is not getting open too and saying u r using very old version plz update but it is not updating...,1,0,Positive
15,3901,Very coming in real status. Thank you,1,0,Positive
19,3905,I want to download greana free fire but that not comming in file,1,0,Positive
42,3928,Okk kind but bad then brave,1,0,Positive
48,3934,Unable to update won't load crashing at times unresponsive was a good reliable app now it's unreliable,1,0,Positive
59,3945,Don't know why chrome started controlling the chromatic effect. Every time I scroll or try to copy paste anything from chrome it automatically start changing the blue light filter on it's own. That's too sore to eyes. Please remove or provide us with an option to block it,1,0,Positive
80,3966,I am facing a serious problem with my Google Chrome. I couldn't able to update it and facing similar problems like opening it's dual app. Please check to it as soon as possible.,2,0,Positive
87,3973,Chrome is crashing again and again...Can't open new tab or can't process a link.....😡,1,0,Positive
101,4113,Good,1,0,Positive
102,4092,Says update but wont this whole thing is like its not even google im lost,1,0,Positive
116,4101,Claiming certificates on our intranet are invalid due to NET::ERR_CERT_VALIDITY_TOO_LONG... Our internal certificates are only valid for 24 months. Last I checked that is a year shorter than the 36 mo alloted due to your exceptional security practices...,2,0,Positive
142,4128,Can't update to new version.,1,0,Positive
148,4133,Why suddenly dual apps of Google chrome appeared on my phone?? And i can't erase it. Also latest update made my phone's reading mode turned off automatically while browsing.,1,0,Positive
158,4143,Good,1,0,Positive
218,5176,"Chrome had the option to group tabs, which was extremely useful. Most schools since Covid require you to do attendance virtually, and the group tab option allows you to put all of your attendance ""forms"" in one group, which you can then organize by period. Also, if you wanted to watch a show using chrome, you could group an episode list of the show with a tab that you watch the show on, and you could go back and forth between these tabs with a click of a button.",2,0,Positive
230,5190,Very dissapointed with new updates. I'm not even able to update no matter how many times I click update.,1,0,Positive
242,5202,Careful with this app. If you link your email account any person who has access to this browser will be available to access your private email and with that you will be not safe,2,0,Positive
258,5217,It is the best app for browsing,1,0,Positive
260,5219,"It was fine, until the update happened. I'm now getting constant website popups ever since this update dropped.",2,0,Positive
270,5229,It crashes every time I search something honestly its like each update gets worse,1,0,Positive
272,5231,"I Depend on CHROME to GET it Right ‼️💥‼️ Moreso, TO KEEP IT RIGHT!! NEW msg reflects last update 12•12•2020 and still reflects Critical Update (... VULNERABILITY that May allow access to critical information, still trying... AGAIN! AGAIN!!) ‼️💥‼️ ALERT ‼️💥‼️ UPDATE AGAIN 12•21•2020. (same schidt, different day!! FIX THIS!!) Cache CLEARED, History CLEARED, Duplicates DELETED!!! C'MON GOOGLE 🤣🤣🤣 ELECTION INTERFERENCE AT IT'S FINEST (NOT)🤣🤪🤣🤪",1,0,Positive
277,5237,"Dark mode is acting up and changing screen light to super bright on it's own , super annoyed",1,0,Positive
289,5249,"Latest update turns my screen pink on some web pages I keep uninstalling the latest updates as it seems to be the cause. Please Google sort it out, also does it on smart assistant on my oppo Reno 2",1,1,Positive
291,5251,Ok,1,0,Positive
310,5842,Best,1,0,Positive
312,5844,Good,1,0,Positive
315,5847,Nice,1,0,Positive
320,5854,Chorme is best but without my permission it opening some web sites . When I'm playing the games like its opening some websites and when i 'm using whatsapp its opening.when I'm power on its showing again and again.So please fix its by giving some update,1,0,Positive
334,5868,Crome is not update some before time and I tried to many times but could not update this google crome,2,0,Positive
354,5888,Very dissatisfied,1,0,Positive
373,5907,It's not even working right now..why?,1,0,Positive
389,5923,Good,1,0,Positive
392,5926,I am not even able to update chrome..... Solve this plz,1,0,Positive
424,8531,Good,1,0,Positive
430,8537,Good work is browser,2,0,Positive
470,8578,It is not updating latest version .,1,0,Positive
476,8584,W loo tobe exx so so xws to ewd to eve and e to get the order soowzss e u o to ed ok let osdeo to get ddos the above we🙂😃🤩,1,0,Positive
478,8586,Hasn't been able to update in months.,1,0,Positive
483,8591,Can't update to the new version,1,0,Positive
490,8598,Mare mobile main Google update q nhi ho raha hai plz rep to me.,1,0,Positive
501,12559,"Why won't you let me install a backedup version of the app?!? I normally update the app on my on schedule (every two months). But the app kept nagging me to update it. Now the app freezes, locks up and is non-responsive multiple times within the hour. This is happening on my Google Pixel 2 and on my Samsung Tab S2. I will be sure NOT to upgrade the app whenever it suggests that I do so. This is why I don't allow automatic updates... This is some BS...",1,27,Positive
537,12596,I'm using this app since 5 years and it was the good app for me .but now it has stopped to work .suddenly it becomes close .now it makes me sad .,1,0,Positive
540,12599,IT IS GOOD FOR GAMING,1,0,Positive
559,12618,Super,2,0,Positive
562,12621,"I face so many problems from my Chrome application. It is not working as well, so please solve my Chrome mobile application as soon as possible. Thanks",1,0,Positive
575,12635,Nice app,2,0,Positive
577,12637,Very bd exp,1,0,Positive
600,20365,Perfect app,2,0,Positive
647,20412,I can not update the app at all even tho it tells me it's time I tried many ways restart my phone and nothing at all.. please fix this,1,0,Positive
673,20438,"Tabs don't swap or close on this latest version, can't even kill the app, just comes back with the same tabs open. Need a drop down menu close tab and a close all tabs menu option.",1,0,Positive
703,24318,"The update won't download, and from the other reviews it's probably a good thing!",1,0,Positive
738,24354,I am not able to update my chrome browser updated is available but not do that update,1,0,Positive
763,24379,Nice,2,0,Positive
775,24391,Good,1,0,Positive
788,24404,Chrome won't update I got a new phone and nothing has changed someone fix this,1,1,Positive
796,24412,Nothing but problems it does whatever it wants. Opens up apps freezes I don't know is anybody else having ims trouble too. Samsung Galaxy s8 is defective and they wont help either. Chrome several alerts malicious spy ware really 2 problems. And I cant afford new phone I was told take it to the store.,1,1,Positive
802,31569,Crome shows an update but not install new update,1,0,Positive
806,31573,"Hate it, I have been using the Google search widget for years, I click the microphone and talk, its been good just a beep letting me know its ready, now I click the microphone and I hear ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" I DO NOT NEED TO BE ASKED ANYTHING.... ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP""",1,49,Positive
807,31574,Good serving,1,0,Positive
